Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
hex-dumbbell-pair,,,,,,,,Weight,30 kg,,,,,IF-DB-30,60000,shopify,4,deny,manual,319.00,,TRUE,TRUE,,,,,,,,
competition-bumper-plates,Competition Bumper Plates — Pair,<p>Steel-insert bumpers with a 2% weight tolerance and a low 22mm bounce. Colour-coded to IWF standard so you can read a loaded bar from across the room.</p><ul><li>Sold as a pair</li><li>Stainless steel insert</li><li>IWF colour coding</li><li>Dead-blow rubber compound</li></ul>,Ironforge,Sporting Goods > Exercise & Fitness,Plates,"strength, plates, olympic-lifting, home-gym",TRUE,Weight,5 kg,,,,,IF-BP-05,10000,shopify,50,deny,manual,89.00,,TRUE,TRUE,,,,,FALSE,Competition Bumper Plates (Pair) | Ironforge,IWF colour-coded competition bumper plates with steel inserts and low bounce.,active
competition-bumper-plates,,,,,,,,Weight,10 kg,,,,,IF-BP-10,20000,shopify,44,deny,manual,129.00,,TRUE,TRUE,,,,,,,,
competition-bumper-plates,,,,,,,,Weight,15 kg,,,,,IF-BP-15,30000,shopify,30,deny,manual,179.00,,TRUE,TRUE,,,,,,,,
competition-bumper-plates,,,,,,,,Weight,20 kg,,,,,IF-BP-20,40000,shopify,26,deny,manual,219.00,,TRUE,TRUE,,,,,,,,
competition-bumper-plates,,,,,,,,Weight,25 kg,,,,,IF-BP-25,50000,shopify,12,deny,manual,259.00,,TRUE,TRUE,,,,,,,,
adjustable-bench,Adjustable Bench AB-3,"<p>A seven-position bench that goes from -10° decline to 80° upright with a ladder adjustment you can move one-handed between sets. Rated to 450kg including load.</p><ul><li>Seven back positions, three seat positions</li><li>450kg rated capacity</li><li>29cm pad width, high-density foam</li><li>Wheels and handle for repositioning</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Benches,"strength, bench, home-gym, best-seller",TRUE,Upholstery,Black vinyl,,,,,IF-BENCH-AB3-BLK,34000,shopify,20,deny,manual,429.00,499.00,TRUE,TRUE,,,,,FALSE,Adjustable Bench AB-3 | Ironforge,"Seven-position adjustable weight bench rated to 450kg, with transport wheels.",active
adjustable-bench,,,,,,,,Upholstery,Grey vinyl,,,,,IF-BENCH-AB3-GRY,34000,shopify,11,deny,manual,429.00,499.00,TRUE,TRUE,,,,,,,,
flat-utility-bench,Flat Utility Bench,"<p>No hinges, no wobble. A welded flat bench at press height with a pad firm enough to keep your shoulders packed.</p><ul><li>Single-piece welded frame</li><li>45cm pad height</li><li>500kg rated capacity</li><li>Non-marking feet</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Benches,"strength, bench, home-gym",TRUE,Title,Default Title,,,,,IF-BENCH-FLAT,26000,shopify,25,deny,manual,249.00,,TRUE,TRUE,,,,,FALSE,Flat Utility Bench | Ironforge,"Welded flat bench at competition press height, rated to 500kg.",active
speed-rope,Ball-Bearing Speed Rope,<p>A 2.5mm coated steel cable on sealed bearings. Spins fast enough for double-unders and quiet enough for an apartment.</p><ul><li>Sealed ball bearings</li><li>Adjustable to 3m</li><li>Knurled aluminium handles</li><li>Spare cable included</li></ul>,Ironforge,Sporting Goods > Exercise & Fitness,Conditioning,"conditioning, cardio, crossfit, accessories",TRUE,Colour,Volt,,,,,IF-ROPE-VLT,260,shopify,120,deny,manual,34.00,,TRUE,TRUE,,,,,FALSE,Ball-Bearing Speed Rope | Ironforge,Sealed-bearing speed rope with a coated steel cable and knurled aluminium handles.,active
speed-rope,,,,,,,,Colour,Black,,,,,IF-ROPE-BLK,260,shopify,140,deny,manual,34.00,,TRUE,TRUE,,,,,,,,
resistance-band-set,Loop Resistance Band Set,"<p>Five layered-latex loops from 5kg to 55kg of assistance. Use them for pull-up help, band work on the bar, or warm-ups that don't need a rack.</p><ul><li>Five bands, 5–55kg</li><li>Continuously layered latex</li><li>Carry bag included</li><li>One-year replacement on snaps</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Accessories,"conditioning, accessories, mobility, home-gym",TRUE,Title,Default Title,,,,,IF-BAND-SET5,2400,shopify,85,deny,manual,64.00,79.00,TRUE,TRUE,,,,,FALSE,Loop Resistance Band Set | Ironforge,"Five layered-latex resistance loops from 5kg to 55kg, with a carry bag.",active
lever-lifting-belt,10mm Lever Lifting Belt,"<p>Single-ply 10mm leather, uniform width front to back, with a lever you can set once and forget. Broken in after about a week of use.</p><ul><li>10mm single-ply leather</li><li>Stainless steel lever</li><li>100mm uniform width</li><li>IPF-legal dimensions</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Accessories,"strength, powerlifting, accessories, belt",TRUE,Size,S,,,,,IF-BELT-S,1400,shopify,18,deny,manual,139.00,,TRUE,TRUE,,,,,FALSE,10mm Lever Lifting Belt | Ironforge,IPF-legal 10mm single-ply leather lifting belt with a stainless lever.,active
lever-lifting-belt,,,,,,,,Size,M,,,,,IF-BELT-M,1450,shopify,26,deny,manual,139.00,,TRUE,TRUE,,,,,,,,
lever-lifting-belt,,,,,,,,Size,L,,,,,IF-BELT-L,1500,shopify,22,deny,manual,139.00,,TRUE,TRUE,,,,,,,,
lever-lifting-belt,,,,,,,,Size,XL,,,,,IF-BELT-XL,1550,shopify,7,deny,manual,139.00,,TRUE,TRUE,,,,,,,,
wrist-wraps,Stiff Wrist Wraps,<p>60cm of stiff cotton-elastic weave with a thumb loop that stays put. Enough support for a heavy overhead press without turning your wrist into a cast.</p><ul><li>60cm length</li><li>Stiff weave</li><li>Reinforced thumb loop</li></ul>,Ironforge,Sporting Goods > Exercise & Fitness,Accessories,"strength, accessories, wraps",TRUE,Colour,Black,,,,,IF-WRAP-BLK,300,shopify,90,deny,manual,29.00,,TRUE,TRUE,,,,,FALSE,Stiff Wrist Wraps | Ironforge,60cm stiff wrist wraps with a reinforced thumb loop.,active
wrist-wraps,,,,,,,,Colour,Volt,,,,,IF-WRAP-VLT,300,shopify,65,deny,manual,29.00,,TRUE,TRUE,,,,,,,,
grid-foam-roller,Grid Foam Roller,"<p>A hollow-core roller with a multi-density surface — firm ridges for tissue work, softer channels to let blood move. Holds its shape after years of bodyweight.</p><ul><li>33cm x 14cm</li><li>Hollow ABS core</li><li>Multi-density EVA surface</li><li>Supports up to 220kg</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Recovery,"recovery, mobility, accessories",TRUE,Title,Default Title,,,,,IF-ROLL-GRID,1100,shopify,70,deny,manual,44.00,,TRUE,TRUE,,,,,FALSE,Grid Foam Roller | Ironforge,Hollow-core multi-density foam roller for tissue work and warm-ups.,active
lacrosse-ball-set,Recovery Ball Set,"<p>Two firm rubber balls and one peanut for the spots a roller can't reach. Traps, glutes, plantar fascia, the length of the spine.</p><ul><li>Two 6.3cm balls plus one peanut</li><li>Firm solid rubber</li><li>Mesh carry bag</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Recovery,"recovery, mobility, accessories",TRUE,Title,Default Title,,,,,IF-BALL-SET,700,shopify,110,deny,manual,24.00,,TRUE,TRUE,,,,,FALSE,Recovery Ball Set | Ironforge,Firm rubber massage balls and a peanut for targeted tissue work.,active
block-chalk,Block Chalk — 8 Pack,"<p>Pressed magnesium carbonate with no drying agents or fillers. Eight 56g blocks, enough for a year of serious pulling.</p><ul><li>8 x 56g blocks</li><li>Pure magnesium carbonate</li><li>Resealable bucket</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Accessories,"accessories, chalk, consumables",TRUE,Title,Default Title,,,,,IF-CHALK-8,500,shopify,200,deny,manual,19.00,,TRUE,TRUE,,,,,FALSE,Block Chalk 8 Pack | Ironforge,"Pure pressed magnesium carbonate chalk, eight blocks per bucket.",active
training-tee,Heavyweight Training Tee,"<p>220gsm combed cotton with a drop shoulder that doesn't bind on overhead work. Pre-shrunk, so the fit you get is the fit you keep.</p><ul><li>220gsm combed cotton</li><li>Pre-shrunk</li><li>Drop shoulder, boxy fit</li><li>Screen-printed, not vinyl</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Apparel,"apparel, tee, new-arrival",TRUE,Size,S,Colour,Black,,,IF-TEE-S-BLK,260,shopify,25,deny,manual,38.00,,TRUE,TRUE,,,,,FALSE,Heavyweight Training Tee | Ironforge,220gsm pre-shrunk cotton training tee with a drop shoulder.,active
training-tee,,,,,,,,Size,M,Colour,Black,,,IF-TEE-M-BLK,280,shopify,40,deny,manual,38.00,,TRUE,TRUE,,,,,,,,
training-tee,,,,,,,,Size,L,Colour,Black,,,IF-TEE-L-BLK,300,shopify,38,deny,manual,38.00,,TRUE,TRUE,,,,,,,,
training-tee,,,,,,,,Size,XL,Colour,Black,,,IF-TEE-XL-BLK,320,shopify,20,deny,manual,38.00,,TRUE,TRUE,,,,,,,,
training-tee,,,,,,,,Size,S,Colour,Bone,,,IF-TEE-S-BON,260,shopify,15,deny,manual,38.00,,TRUE,TRUE,,,,,,,,
training-tee,,,,,,,,Size,M,Colour,Bone,,,IF-TEE-M-BON,280,shopify,24,deny,manual,38.00,,TRUE,TRUE,,,,,,,,
training-tee,,,,,,,,Size,L,Colour,Bone,,,IF-TEE-L-BON,300,shopify,21,deny,manual,38.00,,TRUE,TRUE,,,,,,,,
training-tee,,,,,,,,Size,XL,Colour,Bone,,,IF-TEE-XL-BON,320,shopify,9,deny,manual,38.00,,TRUE,TRUE,,,,,,,,
duffel-bag-40l,40L Training Duffel,"<p>A 40L bag with a vented shoe compartment, a wet pocket that actually seals, and 1000D fabric that survives being thrown in a car boot twice a day.</p><ul><li>40L capacity</li><li>1000D water-resistant fabric</li><li>Vented shoe compartment</li><li>Sealed wet pocket</li></ul>",Ironforge,Sporting Goods > Exercise & Fitness,Bags,"apparel, bags, accessories, new-arrival",TRUE,Colour,Black,,,,,IF-BAG-40-BLK,1200,shopify,30,deny,manual,119.00,,TRUE,TRUE,,,,,FALSE,40L Training Duffel | Ironforge,40L gym duffel in 1000D fabric with a vented shoe compartment and sealed wet pocket.,active
duffel-bag-40l,,,,,,,,Colour,Olive,,,,,IF-BAG-40-OLV,1200,shopify,16,deny,manual,119.00,,TRUE,TRUE,,,,,,,,
